Course,Planned number of Students,Senior Hours,Assistant Hours
I-1,50,280,300
I-2,20,240,240
I-3,20,240,300
I-4,50,280,420
I-5,60,280,300
I-6,20,280,300
I-7,50,260,420
I-8,50,240,420
I-9,60,280,300
I-10,40,280,300
I-11,20,240,360
I-12,40,260,280
I-13,20,240,300
I-14,40,240,420
I-15,50,280,300
I-16,40,280,360
I-17,50,260,300
I-18,60,280,420
I-19,50,260,300
I-20,60,240,360
I-21,20,240,200
I-22,20,240,240
I-23,20,260,200
I-24,40,240,360
I-25,60,260,240
I-26,60,280,200
I-27,60,260,420
I-28,60,240,240
I-29,20,260,420
I-30,20,260,240
I-31,50,280,240
I-32,40,240,420
I-33,60,260,240
I-34,20,240,200
I-35,50,240,240
I-36,20,240,300
I-37,20,260,420
I-38,60,240,300
I-39,60,260,300
I-40,20,280,280
I-41,60,280,200
I-42,50,260,240
I-43,20,280,420
I-44,50,260,240
I-45,40,240,280
I-46,60,240,300
I-47,50,260,420
I-48,20,240,280
I-49,20,260,360
I-50,40,280,200
I-51,50,260,360
I-52,20,240,300
I-53,60,280,420
I-54,60,280,300
I-55,50,240,240
I-56,20,280,360
I-57,60,280,300
I-58,40,260,300
I-59,40,260,240
I-60,60,260,240
I-61,20,260,300
I-62,50,260,420
I-63,40,260,200
I-64,50,240,200
I-65,40,260,300
I-66,20,280,280
I-67,40,240,300
I-68,40,260,240
I-69,60,240,280
I-70,40,260,420
I-71,20,260,200
I-72,60,240,300
I-73,60,260,420
I-74,50,240,420
I-75,20,260,360
I-76,50,280,360
I-77,60,280,240
I-78,20,240,240
I-79,50,260,200
I-80,60,280,200
I-81,40,280,200
I-82,40,280,240
I-83,20,260,360
I-84,60,260,360
I-85,60,260,420
I-86,60,240,360
I-87,20,280,360
I-88,20,280,280
I-89,20,280,280
I-90,60,240,420
I-91,60,280,420
I-92,50,240,240
I-93,40,280,300
I-94,20,240,200
I-95,40,240,420
I-96,40,240,200
I-97,20,280,420
I-98,60,240,360
I-99,60,260,300
I-100,60,240,300
I-101,60,240,420
I-102,40,240,360
I-103,50,260,300
I-104,60,280,200
I-105,20,260,240
I-106,60,260,240
I-107,20,240,360
I-108,20,240,360
I-109,50,240,200
I-110,50,240,300
I-111,40,280,300
I-112,60,240,360
I-113,40,280,280
I-114,20,240,360
I-115,50,260,420
I-116,60,240,240
I-117,20,240,200
I-118,60,280,240
I-119,50,240,420
I-120,60,280,300
I-121,50,260,420
I-122,20,240,420
I-123,20,240,200
I-124,60,260,280
I-125,60,240,300
I-126,40,280,200
I-127,60,260,280
I-128,50,260,240
I-129,50,280,300
I-130,50,240,240
I-131,60,260,200
I-132,40,280,420
I-133,40,280,420
I-134,20,260,360
I-135,60,280,280
I-136,20,240,200
I-137,40,260,240
I-138,60,240,240
I-139,20,260,200
I-140,60,280,280
I-141,60,260,300
I-142,20,260,240
I-143,50,240,280
I-144,40,260,420
I-145,40,240,240
I-146,50,280,280
I-147,40,260,360
I-148,20,260,360
I-149,40,260,240
I-150,50,280,240
I-151,50,280,300
I-152,50,260,300
I-153,20,260,420
I-154,50,240,240
I-155,50,280,280
I-156,60,240,200
I-157,40,260,240
I-158,50,260,300
I-159,40,280,280
I-160,50,280,240
I-161,60,280,300
I-162,40,240,360
I-163,20,280,420
I-164,20,240,300
I-165,20,280,200
I-166,60,260,200
I-167,60,240,280
I-168,40,260,420
I-169,20,280,240
I-170,20,260,300
I-171,20,240,360
I-172,60,260,360
I-173,60,240,300
I-174,40,280,360
I-175,50,280,280
I-176,50,280,360
I-177,60,280,200
I-178,20,260,280
I-179,40,240,200
I-180,60,240,280
I-181,20,240,360
I-182,40,240,360
I-183,20,280,280
I-184,60,240,200
I-185,60,260,280
I-186,20,240,420
I-187,60,240,420
I-188,20,260,240
I-189,40,280,300
I-190,60,260,200
I-191,40,280,280
I-192,60,280,300
I-193,40,240,200
I-194,60,240,240
I-195,50,260,240
I-196,40,280,280
I-197,20,240,300
I-198,50,280,280
I-199,40,240,200
I-200,20,260,240
I-201,60,260,200
I-202,40,240,300
I-203,20,280,420
I-204,50,260,280
I-205,60,280,240
I-206,60,240,280
I-207,50,240,300
I-208,50,260,280
I-209,50,280,200
I-210,50,280,420
I-211,60,280,200
I-212,20,240,280
I-213,20,240,420
I-214,20,260,300
I-215,50,260,420
I-216,60,260,280
I-217,20,260,360
I-218,60,280,420
I-219,50,240,240
I-220,20,280,240
I-221,50,240,200
I-222,60,280,280
I-223,20,240,240
I-224,60,260,300
I-225,60,240,280
I-226,60,260,300
I-227,20,280,200
I-228,60,240,200
I-229,60,280,280
I-230,20,240,420
I-231,20,260,300
I-232,20,260,280
I-233,20,260,420
I-234,40,260,300
I-235,20,280,420
I-236,50,280,420
I-237,50,280,240
I-238,40,240,240
I-239,60,260,280
I-240,40,240,420
I-241,60,280,240
I-242,20,260,360
I-243,40,240,420
I-244,20,280,420
I-245,50,240,360
I-246,50,260,300
I-247,40,240,240
I-248,60,260,280
I-249,60,260,300
I-250,20,280,240
I-251,60,280,360
I-252,60,260,280
I-253,60,280,420
I-254,50,240,420
I-255,50,260,420
I-256,50,260,300
I-257,50,260,240
I-258,40,240,280
I-259,40,260,280
I-260,40,240,360
I-261,50,240,240
I-262,40,260,360
I-263,40,280,200
I-264,20,240,360
I-265,40,240,300
I-266,20,280,240
I-267,50,240,420
I-268,40,240,280
I-269,40,260,200
I-270,60,280,240
I-271,40,240,360
I-272,50,240,360
I-273,60,240,360
I-274,20,240,280
I-275,60,260,300
I-276,50,260,200
I-277,60,240,300
I-278,20,240,240
I-279,20,240,240
I-280,40,240,240
I-281,40,240,240
I-282,50,240,420
I-283,20,240,240
I-284,40,260,280
I-285,50,240,240
I-286,60,240,280
I-287,60,260,240
I-288,50,280,420
I-289,60,260,200
I-290,60,240,420
I-291,60,260,360
I-292,60,260,420
I-293,60,280,360
I-294,20,280,300
I-295,20,280,360
I-296,40,280,360
I-297,40,280,360
I-298,60,240,360
I-299,20,240,200
I-300,20,260,240
I-301,50,280,300
I-302,60,280,200
I-303,20,260,200
I-304,20,260,280
I-305,60,260,360
I-306,20,240,280
I-307,20,280,200
I-308,60,240,360
I-309,40,240,360
I-310,40,280,360
I-311,50,240,240
I-312,40,280,300
I-313,20,280,360
I-314,20,240,300
I-315,40,240,240
I-316,60,260,360
I-317,20,280,360
I-318,20,280,300
I-319,40,240,420
I-320,50,280,360
I-321,50,260,300
I-322,40,260,240
I-323,40,240,240
I-324,60,260,420
I-325,20,260,420
I-326,50,260,360
I-327,50,260,200
I-328,20,260,420
I-329,60,240,420
I-330,40,240,240
I-331,40,240,280
I-332,20,280,300
I-333,40,280,240
I-334,60,240,420
I-335,60,280,300
I-336,40,240,240
I-337,20,260,280
I-338,20,260,300
I-339,50,280,300
I-340,50,280,420
I-341,40,260,300
I-342,40,240,360
I-343,60,260,240
I-344,50,280,300
I-345,40,240,280
I-346,40,280,360
I-347,20,280,280
I-348,50,260,280
I-349,50,240,280
I-350,40,280,420
I-351,40,260,280
I-352,60,260,200
I-353,50,240,300
I-354,60,280,360
I-355,20,280,300
I-356,20,280,420
I-357,40,260,420
I-358,40,240,420
I-359,50,260,360
I-360,20,260,360
I-361,20,280,360
I-362,60,280,240
I-363,50,260,360
I-364,60,280,360
I-365,40,260,300
I-366,20,240,420
I-367,50,260,280
I-368,60,240,300
I-369,50,260,280
I-370,60,240,200
I-371,50,240,300
I-372,50,260,360
I-373,20,240,200
I-374,20,240,420
I-375,50,240,300
I-376,20,260,300
I-377,20,280,240
I-378,20,240,300
I-379,40,240,360
I-380,50,260,360
I-381,60,240,280
I-382,50,240,360
I-383,40,280,300
I-384,40,240,420
I-385,40,280,300
I-386,40,280,200
I-387,20,280,240
I-388,60,280,200
I-389,40,260,280
I-390,60,260,200
I-391,20,280,280
I-392,40,240,300
I-393,40,260,300
I-394,50,280,420
I-395,50,260,300
I-396,20,260,200
I-397,40,240,360
I-398,40,280,420
I-399,50,280,360
I-400,60,280,240
I-401,50,280,240
I-402,50,260,240
I-403,50,280,360
I-404,50,240,420
I-405,40,280,300
I-406,40,260,200
I-407,40,280,360
I-408,20,260,240
I-409,60,260,420
I-410,50,240,240
I-411,20,280,360
I-412,40,260,420
I-413,20,240,300
I-414,20,260,420
I-415,50,280,360
I-416,40,280,200
I-417,50,260,200
I-418,40,260,300
I-419,20,280,280
I-420,20,240,280
I-421,50,240,420
I-422,20,240,300
I-423,40,280,200
I-424,60,240,300
I-425,40,240,300
I-426,60,260,200
I-427,20,260,240
I-428,60,240,300
I-429,60,280,300
I-430,50,260,360
I-431,20,260,240
I-432,60,280,420
I-433,60,260,240
I-434,60,280,420
I-435,40,280,200
I-436,20,280,420
I-437,20,260,280
I-438,40,260,240
I-439,60,280,200
I-440,60,260,300
I-441,50,240,200
I-442,20,280,280
I-443,20,240,200
I-444,60,280,360
I-445,60,260,300
I-446,50,260,200
I-447,50,240,240
I-448,60,240,300
I-449,60,280,200
I-450,40,260,240
I-451,20,260,200
I-452,20,280,200
I-453,40,240,360
I-454,60,260,360
I-455,50,280,200
I-456,20,280,200
I-457,60,280,300
I-458,40,260,280
I-459,40,280,280
I-460,20,280,420
I-461,40,260,300
I-462,50,260,240
I-463,50,240,420
I-464,60,280,240
I-465,40,280,280
I-466,60,240,360
I-467,50,260,420
I-468,50,280,240
I-469,60,240,360
I-470,50,240,360
I-471,40,280,300
I-472,50,260,360
I-473,60,260,300
I-474,40,240,200
I-475,50,260,240
I-476,40,260,200
I-477,40,260,360
I-478,50,280,360
I-479,50,260,200
I-480,20,260,200
I-481,50,240,280
I-482,20,260,280
I-483,40,260,420
I-484,20,260,360
