Programme code,Study Year,Academic Year,Course,Course Type
10001,1.0,2013-2014,1204,compulsory
10001,1.0,2013-2014,1082,compulsory
10001,1.0,2013-2014,1190,compulsory
10001,1.0,2013-2014,1009,compulsory
10001,1.0,2013-2014,1264,elective
10001,1.0,2013-2014,1161,elective
10001,1.0,2013-2014,1076,elective
10001,1.0,2013-2014,1055,elective
10001,1.0,2013-2014,1048,elective
10001,1.0,2013-2014,1007,elective
10001,1.0,2014-2015,1124,compulsory
10001,1.0,2014-2015,1019,compulsory
10001,1.0,2014-2015,1193,compulsory-elective
10001,1.0,2014-2015,1108,compulsory-elective
10001,1.0,2014-2015,1063,compulsory-elective
10001,1.0,2014-2015,1050,compulsory-elective
10001,1.0,2014-2015,1256,elective
10001,1.0,2014-2015,1240,elective
10001,1.0,2014-2015,1159,elective
10001,1.0,2014-2015,1107,elective
10001,1.0,2014-2015,1068,elective
10001,1.0,2014-2015,1048,elective
10001,1.0,2015-2016,1256,compulsory
10001,1.0,2015-2016,1251,compulsory
10001,1.0,2015-2016,1269,compulsory
10001,1.0,2015-2016,1200,compulsory
10001,1.0,2015-2016,1290,elective
10001,1.0,2015-2016,1197,elective
10001,1.0,2015-2016,1147,elective
10001,1.0,2015-2016,1123,elective
10001,1.0,2015-2016,1052,elective
10001,1.0,2016-2017,1186,compulsory
10001,1.0,2016-2017,1102,compulsory
10001,1.0,2016-2017,1227,compulsory-elective
10001,1.0,2016-2017,1089,compulsory-elective
10001,1.0,2016-2017,1084,compulsory-elective
10001,1.0,2016-2017,1021,compulsory-elective
10001,1.0,2016-2017,1252,elective
10001,1.0,2016-2017,1172,elective
10001,1.0,2016-2017,1158,elective
10001,1.0,2016-2017,1091,elective
10001,1.0,2016-2017,1045,elective
10001,1.0,2017-2018,1272,compulsory
10001,1.0,2017-2018,1248,compulsory
10001,1.0,2017-2018,1232,compulsory
10001,1.0,2017-2018,1006,compulsory
10001,1.0,2017-2018,1241,elective
10001,1.0,2017-2018,1215,elective
10001,1.0,2017-2018,1090,elective
10001,1.0,2017-2018,1085,elective
10001,1.0,2017-2018,1082,elective
10001,1.0,2017-2018,1033,elective
10001,1.0,2018-2019,1144,compulsory
10001,1.0,2018-2019,1250,compulsory-elective
10001,1.0,2018-2019,1243,compulsory-elective
10001,1.0,2018-2019,1147,compulsory-elective
10001,1.0,2018-2019,1133,compulsory-elective
10001,1.0,2018-2019,1239,elective
10001,1.0,2018-2019,1220,elective
10001,1.0,2018-2019,1178,elective
10001,1.0,2018-2019,1168,elective
10001,1.0,2018-2019,1078,elective
10001,1.0,2018-2019,1027,elective
10001,1.0,2019-2020,1157,compulsory
10001,1.0,2019-2020,1244,compulsory-elective
10001,1.0,2019-2020,1183,compulsory-elective
10001,1.0,2019-2020,1108,compulsory-elective
10001,1.0,2019-2020,1267,elective
10001,1.0,2019-2020,1250,elective
10001,1.0,2019-2020,1246,elective
10001,1.0,2019-2020,1135,elective
10001,1.0,2019-2020,1099,elective
10001,1.0,2020-2021,1284,compulsory
10001,1.0,2020-2021,1239,compulsory
10001,1.0,2020-2021,1155,compulsory
10001,1.0,2020-2021,1130,compulsory
10001,1.0,2020-2021,1278,elective
10001,1.0,2020-2021,1204,elective
10001,1.0,2020-2021,1092,elective
10001,1.0,2020-2021,1060,elective
10001,1.0,2021-2022,1203,compulsory
10001,1.0,2021-2022,1086,compulsory
10001,1.0,2021-2022,1180,compulsory-elective
10001,1.0,2021-2022,1167,compulsory-elective
10001,1.0,2021-2022,1136,compulsory-elective
10001,1.0,2021-2022,1048,compulsory-elective
10001,1.0,2021-2022,1194,elective
10001,1.0,2021-2022,1079,elective
10001,1.0,2021-2022,1054,elective
10001,1.0,2021-2022,1043,elective
10001,1.0,2021-2022,1006,elective
10001,1.0,2022-2023,1263,compulsory
10001,1.0,2022-2023,1282,compulsory-elective
10001,1.0,2022-2023,1170,compulsory-elective
10001,1.0,2022-2023,1098,compulsory-elective
10001,1.0,2022-2023,1005,compulsory-elective
10001,1.0,2022-2023,1255,elective
10001,1.0,2022-2023,1222,elective
10001,1.0,2022-2023,1178,elective
10001,1.0,2022-2023,1088,elective
10001,1.0,2022-2023,1070,elective
10001,1.0,2022-2023,1067,elective
10001,1.0,2023-2024,1014,compulsory
10001,1.0,2023-2024,1299,compulsory-elective
10001,1.0,2023-2024,1296,compulsory-elective
10001,1.0,2023-2024,1132,compulsory-elective
10001,1.0,2023-2024,1046,compulsory-elective
10001,1.0,2023-2024,1289,compulsory-elective
10001,1.0,2023-2024,1223,compulsory-elective
10001,1.0,2023-2024,1137,compulsory-elective
10001,1.0,2023-2024,1082,compulsory-elective
10001,2.0,2013-2014,1265,compulsory
10001,2.0,2013-2014,1213,compulsory-elective
10001,2.0,2013-2014,1085,compulsory-elective
10001,2.0,2013-2014,1075,compulsory-elective
10001,2.0,2013-2014,1272,elective
10001,2.0,2013-2014,1139,elective
10001,2.0,2013-2014,1101,elective
10001,2.0,2013-2014,1098,elective
10001,2.0,2013-2014,1083,elective
10001,2.0,2014-2015,1185,compulsory
10001,2.0,2014-2015,1271,compulsory-elective
10001,2.0,2014-2015,1258,compulsory-elective
10001,2.0,2014-2015,1073,compulsory-elective
10001,2.0,2014-2015,1065,compulsory-elective
10001,2.0,2014-2015,1218,compulsory-elective
10001,2.0,2014-2015,1208,compulsory-elective
10001,2.0,2014-2015,1100,compulsory-elective
10001,2.0,2014-2015,1090,compulsory-elective
10001,2.0,2015-2016,1221,compulsory
10001,2.0,2015-2016,1073,compulsory
10001,2.0,2015-2016,1230,compulsory
10001,2.0,2015-2016,1208,compulsory
10001,2.0,2015-2016,1201,elective
10001,2.0,2015-2016,1199,elective
10001,2.0,2015-2016,1144,elective
10001,2.0,2015-2016,1086,elective
10001,2.0,2015-2016,1040,elective
10001,2.0,2015-2016,1011,elective
10001,2.0,2016-2017,1258,compulsory
10001,2.0,2016-2017,1284,compulsory-elective
10001,2.0,2016-2017,1094,compulsory-elective
10001,2.0,2016-2017,1008,compulsory-elective
10001,2.0,2016-2017,1250,elective
10001,2.0,2016-2017,1197,elective
10001,2.0,2016-2017,1176,elective
10001,2.0,2016-2017,1011,elective
10001,2.0,2017-2018,1240,compulsory
10001,2.0,2017-2018,1194,compulsory
10001,2.0,2017-2018,1208,compulsory-elective
10001,2.0,2017-2018,1158,compulsory-elective
10001,2.0,2017-2018,1133,compulsory-elective
10001,2.0,2017-2018,1060,compulsory-elective
10001,2.0,2017-2018,1257,elective
10001,2.0,2017-2018,1201,elective
10001,2.0,2017-2018,1169,elective
10001,2.0,2017-2018,1081,elective
10001,2.0,2017-2018,1066,elective
10001,2.0,2017-2018,1021,elective
10001,2.0,2018-2019,1276,compulsory
10001,2.0,2018-2019,1129,compulsory
10001,2.0,2018-2019,1117,compulsory-elective
10001,2.0,2018-2019,1116,compulsory-elective
10001,2.0,2018-2019,1048,compulsory-elective
10001,2.0,2018-2019,1248,elective
10001,2.0,2018-2019,1235,elective
10001,2.0,2018-2019,1204,elective
10001,2.0,2018-2019,1153,elective
10001,2.0,2018-2019,1076,elective
10001,2.0,2019-2020,1108,compulsory
10001,2.0,2019-2020,1077,compulsory-elective
10001,2.0,2019-2020,1024,compulsory-elective
10001,2.0,2019-2020,1014,compulsory-elective
10001,2.0,2019-2020,1234,elective
10001,2.0,2019-2020,1224,elective
10001,2.0,2019-2020,1202,elective
10001,2.0,2019-2020,1200,elective
10001,2.0,2019-2020,1025,elective
10001,2.0,2020-2021,1048,compulsory
10001,2.0,2020-2021,1196,compulsory-elective
10001,2.0,2020-2021,1194,compulsory-elective
10001,2.0,2020-2021,1107,compulsory-elective
10001,2.0,2020-2021,1096,compulsory-elective
10001,2.0,2020-2021,1258,elective
10001,2.0,2020-2021,1182,elective
10001,2.0,2020-2021,1158,elective
10001,2.0,2020-2021,1130,elective
10001,2.0,2020-2021,1064,elective
10001,2.0,2021-2022,1142,compulsory
10001,2.0,2021-2022,1287,compulsory-elective
10001,2.0,2021-2022,1206,compulsory-elective
10001,2.0,2021-2022,1236,elective
10001,2.0,2021-2022,1178,elective
10001,2.0,2021-2022,1029,elective
10001,2.0,2021-2022,1024,elective
10001,2.0,2021-2022,1007,elective
10001,2.0,2022-2023,1286,compulsory
10001,2.0,2022-2023,1187,compulsory
10001,2.0,2022-2023,1222,compulsory
10001,2.0,2022-2023,1040,compulsory
10001,2.0,2022-2023,1275,elective
10001,2.0,2022-2023,1210,elective
10001,2.0,2022-2023,1194,elective
10001,2.0,2022-2023,1191,elective
10001,2.0,2022-2023,1037,elective
10001,2.0,2022-2023,1017,elective
10001,2.0,2023-2024,1163,compulsory
10001,2.0,2023-2024,1146,compulsory
10001,2.0,2023-2024,1035,compulsory-elective
10001,2.0,2023-2024,1010,compulsory-elective
10001,2.0,2023-2024,1011,compulsory-elective
10001,2.0,2023-2024,1294,elective
10001,2.0,2023-2024,1283,elective
10001,2.0,2023-2024,1184,elective
10001,2.0,2023-2024,1180,elective
10001,3.0,2013-2014,1236,compulsory
10001,3.0,2013-2014,1093,compulsory
10001,3.0,2013-2014,1255,compulsory-elective
10001,3.0,2013-2014,1235,compulsory-elective
10001,3.0,2013-2014,1140,compulsory-elective
10001,3.0,2013-2014,1266,elective
10001,3.0,2013-2014,1160,elective
10001,3.0,2013-2014,1135,elective
10001,3.0,2013-2014,1100,elective
10001,3.0,2013-2014,1037,elective
10001,3.0,2013-2014,1034,elective
10001,3.0,2014-2015,1255,compulsory
10001,3.0,2014-2015,1033,compulsory-elective
10001,3.0,2014-2015,1023,compulsory-elective
10001,3.0,2014-2015,1220,elective
10001,3.0,2014-2015,1149,elective
10001,3.0,2014-2015,1098,elective
10001,3.0,2014-2015,1076,elective
10001,3.0,2014-2015,1032,elective
10001,3.0,2015-2016,1168,compulsory
10001,3.0,2015-2016,1149,compulsory-elective
10001,3.0,2015-2016,1146,compulsory-elective
10001,3.0,2015-2016,1103,compulsory-elective
10001,3.0,2015-2016,1008,compulsory-elective
10001,3.0,2015-2016,1233,elective
10001,3.0,2015-2016,1205,elective
10001,3.0,2015-2016,1190,elective
10001,3.0,2015-2016,1067,elective
10001,3.0,2015-2016,1049,elective
10001,3.0,2015-2016,1009,elective
10001,3.0,2016-2017,1128,compulsory
10001,3.0,2016-2017,1222,compulsory-elective
10001,3.0,2016-2017,1122,compulsory-elective
10001,3.0,2016-2017,1120,compulsory-elective
10001,3.0,2016-2017,1273,elective
10001,3.0,2016-2017,1182,elective
10001,3.0,2016-2017,1150,elective
10001,3.0,2016-2017,1052,elective
10001,3.0,2017-2018,1248,compulsory
10001,3.0,2017-2018,1221,compulsory
10001,3.0,2017-2018,1048,compulsory
10001,3.0,2017-2018,1025,compulsory
10001,3.0,2017-2018,1238,elective
10001,3.0,2017-2018,1211,elective
10001,3.0,2017-2018,1117,elective
10001,3.0,2017-2018,1072,elective
10001,3.0,2018-2019,1013,compulsory
10001,3.0,2018-2019,1273,compulsory-elective
10001,3.0,2018-2019,1230,compulsory-elective
10001,3.0,2018-2019,1079,compulsory-elective
10001,3.0,2018-2019,1237,elective
10001,3.0,2018-2019,1205,elective
10001,3.0,2018-2019,1197,elective
10001,3.0,2018-2019,1185,elective
10001,3.0,2018-2019,1058,elective
10001,3.0,2018-2019,1043,elective
10001,3.0,2019-2020,1049,compulsory
10001,3.0,2019-2020,1205,compulsory-elective
10001,3.0,2019-2020,1152,compulsory-elective
10001,3.0,2019-2020,1055,compulsory-elective
10001,3.0,2019-2020,1292,elective
10001,3.0,2019-2020,1189,elective
10001,3.0,2019-2020,1170,elective
10001,3.0,2019-2020,1118,elective
10001,3.0,2019-2020,1090,elective
10001,3.0,2019-2020,1073,elective
10001,3.0,2020-2021,1077,compulsory
10001,3.0,2020-2021,1213,compulsory-elective
10001,3.0,2020-2021,1199,compulsory-elective
10001,3.0,2020-2021,1049,compulsory-elective
10001,3.0,2020-2021,1222,elective
10001,3.0,2020-2021,1192,elective
10001,3.0,2020-2021,1164,elective
10001,3.0,2020-2021,1113,elective
10001,3.0,2020-2021,1031,elective
10001,3.0,2021-2022,1276,compulsory
10001,3.0,2021-2022,1207,compulsory-elective
10001,3.0,2021-2022,1118,compulsory-elective
10001,3.0,2021-2022,1217,elective
10001,3.0,2021-2022,1162,elective
10001,3.0,2021-2022,1072,elective
10001,3.0,2021-2022,1064,elective
10001,3.0,2022-2023,1184,compulsory
10001,3.0,2022-2023,1218,compulsory-elective
10001,3.0,2022-2023,1066,compulsory-elective
10001,3.0,2022-2023,1272,elective
10001,3.0,2022-2023,1190,elective
10001,3.0,2022-2023,1131,elective
10001,3.0,2022-2023,1125,elective
10001,3.0,2022-2023,1046,elective
10001,3.0,2023-2024,1070,compulsory
10001,3.0,2023-2024,1009,compulsory
10001,3.0,2023-2024,1290,compulsory-elective
10001,3.0,2023-2024,1173,compulsory-elective
10001,3.0,2023-2024,1004,compulsory-elective
10001,3.0,2023-2024,1296,elective
10001,3.0,2023-2024,1240,elective
10001,3.0,2023-2024,1160,elective
10001,3.0,2023-2024,1158,elective
10001,3.0,2023-2024,1115,elective
